	H1	H3	H5	Cal_N1	N2	Vie_N1
sasa_dead_vs_all	0.689_0.491129	1.07_0.28458	1.066_0.286577			2.413_0.015842
sasa_live_vs_all	-0.259_0.79573	0.696_0.486581	-0.049_0.960636	-1.384_0.166486		0.697_0.485995
sasa_rapadead_vs_all	2.606_0.009167	0.402_0.687493	3.107_0.001892	0.865_0.386893		-1.02_0.307515
sasa_rapalive_vs_all	0.566_0.571328	-2.084_0.037122	nan_nan	-1.384_0.166486		0.696_0.486352
sasa_pbslive_vs_all	-0.808_0.418935	0.735_0.462305	-0.479_0.631675	-0.84_0.401011		-0.269_0.787561
conservation_dead_vs_all	2.838_0.00454	1.498_0.134226	0.82_0.412332		-0.808_0.418845	4.997_1e-06
conservation_live_vs_all	1.292_0.196284	3.641_0.000272	2.249_0.024533	0.843_0.399032	-1.128_0.259144	1.983_0.047414
conservation_rapadead_vs_all	-0.679_0.496886	-1.156_0.247746	3.611_0.000305	-0.627_0.530902	-0.014_0.988766	1.294_0.195744
conservation_rapalive_vs_all	1.646_0.099689	-2.784_0.005363	1.032_0.302022	0.843_0.399032	-0.946_0.344365	0.772_0.440248
conservation_pbslive_vs_all	-1.497_0.13428	-3.409_0.000653	2.606_0.009149	-0.092_0.927081	-1.575_0.115176	-2.102_0.035514
sasa_pbsdead_vs_all			-0.082_0.934441			
conservation_pbsdead_vs_all			-0.848_0.39627		-0.808_0.418845	
